rider_id,rider_rating,rider_password,prior_cancellations,total_rides_booked,cancelation_rate
U1000,3.04,pass1000,61,226,26.99
U1001,3.45,pass1001,64,219,29.22
U1002,3.07,pass1002,73,326,22.39
U1003,4.04,pass1003,54,338,15.98
U1004,4.24,pass1004,0,29,0.0
U1005,0.42,pass1005,91,150,60.67
U1006,3.64,pass1006,65,321,20.25
U1007,4.02,pass1007,85,467,18.2
U1008,3.3,pass1008,66,460,14.35
U1009,3.11,pass1009,28,101,27.72
U1010,2.95,pass1010,39,46,84.78
U1011,1.17,pass1011,170,228,74.56
U1012,2.95,pass1012,58,250,23.2
U1013,4.13,pass1013,35,409,8.56
U1014,2.31,pass1014,11,55,20.0
U1015,4.47,pass1015,11,64,17.19
U1016,0.93,pass1016,301,402,74.88
U1017,2.14,pass1017,43,122,35.25
U1018,1.31,pass1018,473,500,94.6
U1019,4.02,pass1019,18,427,4.22
U1020,3.39,pass1020,49,179,27.37
U1021,2.63,pass1021,27,80,33.75
U1022,3.32,pass1022,69,308,22.4
U1023,4.49,pass1023,117,443,26.41
U1024,3.97,pass1024,0,0,0.0
U1025,0.52,pass1025,64,99,64.65
U1026,0.94,pass1026,144,297,48.48
U1027,1.3,pass1027,432,465,92.9
U1028,3.35,pass1028,98,396,24.75
U1029,2.64,pass1029,81,248,32.66
U1030,2.25,pass1030,114,143,79.72
U1031,1.55,pass1031,109,139,78.42
U1032,3.68,pass1032,9,244,3.69
U1033,2.75,pass1033,66,248,26.61
U1034,2.48,pass1034,36,170,21.18
U1035,1.64,pass1035,192,304,63.16
U1036,1.48,pass1036,183,333,54.95
U1037,1.78,pass1037,105,147,71.43
U1038,1.58,pass1038,22,23,95.65
U1039,3.56,pass1039,11,23,47.83
U1040,2.46,pass1040,43,163,26.38
U1041,2.6,pass1041,52,138,37.68
U1042,2.66,pass1042,0,2,0.0
U1043,3.35,pass1043,54,188,28.72
U1044,1.5,pass1044,145,478,30.33
U1045,3.17,pass1045,123,343,35.86
U1046,3.09,pass1046,41,150,27.33
U1047,3.4,pass1047,66,249,26.51
U1048,0.75,pass1048,269,434,61.98
U1049,2.73,pass1049,159,408,38.97
U1050,0.47,pass1050,144,193,74.61
U1051,2.73,pass1051,103,312,33.01
U1052,4.37,pass1052,30,189,15.87
U1053,3.71,pass1053,72,218,33.03
U1054,4.14,pass1054,1,57,1.75
U1055,4.69,pass1055,62,494,12.55
U1056,4.61,pass1056,39,226,17.26
U1057,3.65,pass1057,160,455,35.16
U1058,3.9,pass1058,107,311,34.41
U1059,3.73,pass1059,7,44,15.91
U1060,4.83,pass1060,4,120,3.33
U1061,3.78,pass1061,0,21,0.0
U1062,3.51,pass1062,12,19,63.16
U1063,2.31,pass1063,213,375,56.8
U1064,3.78,pass1064,41,231,17.75
U1065,3.41,pass1065,278,285,97.54
U1066,3.72,pass1066,41,183,22.4
U1067,3.51,pass1067,55,194,28.35
U1068,1.48,pass1068,132,157,84.08
U1069,3.93,pass1069,2,187,1.07
U1070,4.25,pass1070,44,471,9.34
U1071,1.43,pass1071,102,254,40.16
U1072,1.0,pass1072,169,277,61.01
U1073,2.78,pass1073,127,365,34.79
U1074,3.71,pass1074,5,281,1.78
U1075,3.14,pass1075,30,110,27.27
U1076,2.52,pass1076,8,22,36.36
